Award #,Project Title,Obligated Amount,Total Expected Amount,Direct Costs,expected direct,expected indirect,Indirect Costs,Total Project Cost
23-1215-A0002,Pesticide Safety Education Program as funded by product registration fees paid by industry for use of pesticides in the state,185000,185000,185000,185000,0,0,185000
24-0430-A0003,Strategic Analysis (SA) Support Services,50000,206000,37313,169654,36346,12687,206000
24-0085-A0001,Dittoe USDA SEED,300000,300000,243552,243552,56448,56448,299980
23-0338-A0001,"Evaluating the Influence of Wind Energy on the Movement, Distribution, and Habitat Quality of Pronghorn - FY20",10000,,,,,,
23-1415-A0001,"Closing Tobacco Cessation Counseling Gaps. Evaluation of Patient's Smoking Habits, Desire to Quit and Frequency of Tobacco cessation Education Received from a clinic Provider",3000,,,,,,
23-1302-A0001,Walton Foundation #5 - via Alumbra Innovations Foundation,15000,,,,,,
24-0078-A0001,Granular Rhizobia inoculants on Dry Bean,5604,5604,5604,5604,0,0,5604
23-1238-A0001-0,Wyoming High Altitude Brilliant Pathways Rural Education Program,1237494,,,,,,
23-1238-A0001-1,Wyoming High Altitude Brilliant Pathways Rural Education Program,1237494,,1152244,,,85250,1237494
23-0004-A0001,Sugarbeet Variety Trials,203475,,,,,,
24-0334-A0001,Loco Creek Noxious Weed Control,15000,15000,14286,14286,714,714,15000
23-0716-A0001,REU Site: A Community College Based REU in the Wyoming Region,351000,,,,,,
23-0254-A0001,Grape Growing Guide for Beginning and Existing Producers in Wyoming,24407,,,,,,
24-0721-A0001-0,"Shooter’s Complex in Casper, WY",3000,3000,2500,2500,500,500,3000
24-0721-A0001-1,"Shooter’s Complex in Casper, WY",3000,3000,2500,2500,500,500,3000
23-0407-A0001,Effects of Harvest Intensity on Size and Quality of Pronghorn,357174,,,,,,
23-0244-A0001-0,UW Barnyards and Backyards - An innovative project to reach out to Wyoming's small acreage landowner with conservation programs,75000,,,,,,
23-0244-A0001-1,UW Barnyards and Backyards - An innovative project to reach out to Wyoming's small acreage landowner with conservation programs,75000,75000,38181.82,68181.82,6818.18,6818.18,75000
23-0645-A0002-0,Rare Earth Element in Coals,22000,197915.92,15225,133167.36,64748.55,6775,197915.92
23-0645-A0002-1,Rare Earth Element in Coals,122000,197915.9,84429.07,136966.02,60949.88,37570.93,197915.92
24-0227-A0001,"Facilitation of 60m Deep Research/Monitoring Borehole Installation with accompanying Surface Geophysical Pilot Study and  Borehole Geophysical Logging within the Reynolds Creek Critical Zone Observatory near Boise, Idaho",58770,,,,,,
24-0161-A0001,Multiscale Anomaly Detection in Spatio-Temporal Multilayer Networks Encoding Human Mobility,250000,250000,196090,196091,53909,53910,250000
23-0080-A0001,Development of an Ultra-Accelerated Test to Evaluate ASR Potential in Concrete (Federal),213389,,,,,,
23-0545-A0001,Red Grade Trail Work - Sheridan Community Land Trust,5750,,,,,,
23-0058-A0001,Rangeland Science in Support of Practical Aspects of Soil Health for Producers - Correlations between Livestock Performance Indicators and Soil Health,120000,,,,,,
23-0997-A0001-0,Strengthening Opportunities Along the Meat Supply Chain to Promote Sustainable Agriculture in Intermountain States,29920,,,,,,
23-0997-A0001-1,Strengthening Opportunities Along the Meat Supply Chain to Promote Sustainable Agriculture in Intermountain States,29920,29920,,,,,
23-1388-A0001,Natural Resources Energy Explore (NREX) Stewardship 2023,71306,,,,,,
24-0862-A0001,Community Health Needs Assessment (CHNA) | Albany Care Team - Tablets,304.96,304.96,304.96,304.96,0,0,304.96
23-1475-A0001,Partnership: Folk Arts and Folklife Outreach at UW,10000,,,,,,
23-0413-A0001,Characterization of Soil and Rock for Transportation Infrastructure Using Seismic Methods in Wyoming - Federal Portion,171668,,,,,,
24-0448-A0001,Habitat associations for native aquatic species in a spring-fed prairie system,62000,189270,62000,189270,0,0,189270
24-0269-A0001,UW Makerspace External K-12 & Community Entrance,50000,,,,,,
24-0555-A0002,IMPACT 307 - Gillette SUC - WBC Award ,18250,18250,18250,18250,0,0,18250
23-0615-A0001,"Assessment of salinity issues at Pioneer Pasture on Monolith Ranch, WY",13710,,,,,,
23-0115-A0001,Surveillance for the White-nose Syndrome Fungus in Multiple Northern Great Plains Parks,291342,,,,,,
23-1421-A0001,Optimizing Planting Date and Irrigation Management for Chickpea Cultivars Varying in Maturity in Northern Wyoming,43299,,,,,,
24-1111-A0001,Economic Analysis in Goshen County,20100,20100,15000,15000,5100,5100,20100
23-0563-A0001,Walton Foundation Payment #1 - via Alumbra Innovations Foundation,10000,,,,,,
23-0799-A0001,FY2021 Wyoming Pest Detection Infrastructure Support,81025.79,,,,,,
23-0107-A0001,Implementing General Framework in MFIX for Radiative Heat Transfer in Gas-Solid Reacting Flows,399974.47,,,,,,
23-1855-A0001,Role of chronic carriers and population density in bighorn sheep,225000,225000,225000,225000,0,0,255000
23-1173-A0001-0,National Instructional Materials Accessibility Center (NIMAC); Wyoming Depart of Education Accessible Educational Materials (AEM) 2022-2023,203437,,,,,,
23-1173-A0001-1,National Instructional Materials Accessibility Center (NIMAC); Wyoming Depart of Education Accessible Educational Materials (AEM) 2022-2023,203437,,,,,,
23-1173-A0001-2,National Instructional Materials Accessibility Center (NIMAC); Wyoming Depart of Education Accessible Educational Materials (AEM) 2022-2023,310637,310637,258864,258864,51773,51773,310637
23-0456-A0002,National Space Grant College and Fellowship Program - Opportunities in NASA STEM FY 2020-2024: Wyoming NASA Space Grant Consortium Proposal,19000,19000,19000,19000,0,0,19000
23-1122-A0001,Mapping bison migrations in Yellowstone National Park,14000,,,,,,
23-0784-A0001,Golden Eagle Winter Habitat Modeling,5466.48,,,,,,
23-1112-A0001,Alabama Youth Relationship Education (AYRE) Project FY22,50288.16,,,,,,
23-1419-A0002-0,SAMHSA 2022 Arkansas State Opioid Response Grant,80938,80938,72844.2,72844.2,8093.8,8093.8,80938
23-1419-A0002-1,SAMHSA 2022 Arkansas State Opioid Response Grant,80938,80938,72844.2,72844.2,8093.8,8093.8,80938
23-1061-A0003-0,REE Extraction from Powder Basin Coal Byproducts and Mining Waste in response to DOE's Technology Commercialization Fund,0,0,0,187500,0,0,0
23-1061-A0003-1,REE Extraction from Powder Basin Coal Byproducts and Mining Waste in response to DOE's Technology Commercialization Fund,0,0,0,187500,0,0,0
23-0973-A0001,Evaluation of the WYDOT Research Center (2021) - FEDERAL,68228,,,,,,
23-1324-A0002-0,Light Detection and Ranging Plot Validation,120093,120093,102206,102206,17887,17887,160890.02
23-1324-A0002-1,Light Detection and Ranging Plot Validation,120093,120093,102206,102206,17887,17887,160890.02
24-0216-A0001,Herbicide Evaluation Program Support,7700,,,,,,
23-0030-A0001,Sustainable Rangelands Roundtable:  A Formal Briefing on Usable Science for Sustainable Rangelands and a Rangeland Soil Health Session,374711.57,,,,,,
23-0569-A0001-0,Wyoming CarbonSAFE: Accelerating CCUS Commercialization and Deployment at Dry Fork Power Station and the Wyoming Integrated Test Center,15475548,,,,,,
23-0569-A0001-1,Wyoming CarbonSAFE: Accelerating CCUS Commercialization and Deployment at Dry Fork Power Station and the Wyoming Integrated Test Center,17190829,17190829,14830084,,,2360745,21735879
23-0569-A0001-2,Wyoming CarbonSAFE: Accelerating CCUS Commercialization and Deployment at Dry Fork Power Station and the Wyoming Integrated Test Center,17190829,17190829,14830084,14830084,2360745,2360745,21735879
23-0569-A0001-3,Wyoming CarbonSAFE: Accelerating CCUS Commercialization and Deployment at Dry Fork Power Station and the Wyoming Integrated Test Center,17190829,17190829,14830084,14830084,2360745,2360745,21735879
23-1202-A0001,Effect of Dry Bean Planting Configuration and Deficit Irrigation on Direct Harvest Efficiency -PREC 2022,10000,,,,,,
23-1450-A0001,Pasteurella multocide associated with sinus tumors in BHS (Continued),12511.76,,,,,,
23-1915-A0001,WRIR Doe-Fawn Pairs,10000,10000,10000,10000,0,0,10000
23-0248-A0001,Bighorn Sheep Survival,135000,,,,,,
24-0186-A0001,Weed Science Research & Education Program,107543,,,,,,
24-0362-A0001-0,Evaluation of Compressive Behavior of Saw-tooth Beam Elements,4338.25,4338.25,3237.5,3237.5,1100.75,1101.75,17353
24-0362-A0001-1,Evaluation of Compressive Behavior of Saw-tooth Beam Elements,4338.25,4338.25,3237.5,3237.5,1100.75,1101.75,17353
24-0362-A0001-2,Evaluation of Compressive Behavior of Saw-tooth Beam Elements,4338.25,4338.25,3237.5,3237.5,1100.75,1101.75,17353
24-0362-A0001-3,Evaluation of Compressive Behavior of Saw-tooth Beam Elements,19793,19793,14771,14771,5022,5022,19793
24-0362-A0001-4,Evaluation of Compressive Behavior of Saw-tooth Beam Elements,27794,27794,20742,20742,7052,7052,27794
23-0916-A0001,Wyoming Sensory Biology COBRE - Administrative Core Yr 5,3053930.65,,,,,,
23-0798-A0001,Puma predation on guanacos in Patagonia: understanding a key ecological interaction to change negative public perception and enhance conservation action,8075.96,,,,,,
23-1379-A0001,Wyoming Mule Deer Herd Study - Investigation Cause-Specific Mortality of Mule Deer in Wyoming,17600,,,,,,
23-0101-A0001,BLM WY NLCS Biodiversity Inventory Oregon Buttes and Whitehorse Creek WSA CESU,24999.5,,,,,,
25-0038-A0001,R2 Black Hills Data Audit,10165.16,10165.16,8651.2,8651.2,1513.96,1513.96,12874.68
23-1713-A0001,Synergy between POST herbicides and cover crops,7500,7500,7500,7500,0,0,7500
23-1295-A0001,Understanding migratory plasticity to improve elk and pronghorn management,15000,,,,,,
23-1428-A0001-0,Energy Science Graduate Stipends and Fellowships AY22-23,310539,,,,,,
23-1428-A0001-1,Energy Science Graduate Stipends and Fellowships AY22-23,310539,310539,310539,310539,0,0,310539
24-0233-A0001,"Rocky Mountain Mathematics Consortium Summer School on Free Probability, Random Matrices, and Applications",31000,,,,,,
23-0146-A0001,EAGER: Thermokarst Lake Carbon Gas Emission Estimates and Scaling,261660,,,,,,
25-0412-A0001,Wyoming  Delinquency Prevention Grant Program,87500,875000,65299,,,22201,875000
24-0299-A0001,Assessment of water storage capacity in mountain watersheds using data science and geophysical data,10000,,,,,,
23-1944-A0001-0,Blue Cross Blue Shield of Wyoming Website Maintenance,57414,57414,42846,42846,14568,14568,57414
23-1944-A0001-1,Blue Cross Blue Shield of Wyoming Website Maintenance,77507,77507,57842,57842,19665,19665,77507
23-0411-A0001,Behavioral Ecology of a Heat-Sensitive Species: Insights for Viability and Management of Shiras Moose,344000,,,,,,
24-0208-A0001-0,NSF Graduate Research Fellows Program (GRFP) - Emily Beagle 2017-2018,1353368,,,,,,
24-0208-A0001-1,NSF Graduate Research Fellows Program (GRFP) - Emily Beagle 2017-2018,1353368,,,,,,
23-0861-A0002-0,New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP),85000,85000,63432.84,63432.84,21567.16,21567.16,85000
23-0861-A0002-1,New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP),85000,85000,63432.84,63432.84,21567.16,21567.16,85000
23-0861-A0002-2,New Mexico 1815 Diabetes Prevention and Control Program (DPCP) and Heart Disease and Stroke Prevention Program (HDSPP),85000,85000,63432.84,63432.84,21567.16,21567.16,85000
24-0264-A0001,Community Security in Beef Production Sustainability,32193.59,,,,,,
24-0095-A0001,Microbiome of Bighorn Sheep,135000,135000,135000,135000,0,0,135000
23-1049-A0001-0,Western Water Assessment: Building Resilience to Compound Hazards in the Intermountain West,277129,,,,,,
23-1049-A0001-1,Western Water Assessment: Building Resilience to Compound Hazards in the Intermountain West,305362,305362,,,,,305362
23-1049-A0001-2,Western Water Assessment: Building Resilience to Compound Hazards in the Intermountain West,305362,305362,,,,,305362
24-1025-A0001,Vacciplant Sugar Beet Cercospora PREC 2024,10000,10000,9000,9000,1000,1000,10000
23-0911-A0001,Plant Protection Methods Development Initiative - Biocontrol of Russian knapweed and Yellow toadflax in Wyoming,14282.77,,,,,,
23-1479-A0001,The Launch Pad Astronomy Workshop for Writers 2023,4235,,,,,,
23-0729-A0001-0,Special Status Bat Species at Camp Guernsey - Northern Long-eared Bats in Wyoming,232146.74,,,,,,
23-0729-A0001-1,Special Status Bat Species at Camp Guernsey - Northern Long-eared Bats in Wyoming,232146.74,232146.74,208932.06,208932.06,23214.68,23214.68,232146.74
23-0974-A0001-0,"Add capabilities to the Integrated Resource Management Analyst (IRMA 2.1), a GIS-powered webtool, provide technical support and server hosting. 2023NRC19CPT0010123 Rocky Mountain CESU",46000,,,,,,
23-0974-A0001-1,"Add capabilities to the Integrated Resource Management Analyst (IRMA 2.1), a GIS-powered webtool, provide technical support and server hosting. 2023NRC19CPT0010123 Rocky Mountain CESU",46000,,,,,,
24-0755-A0001,Focus Groups of Wyoming Parents,,,,,,,14753
24-0054-A0001-0,IIJA Bureau of Land Management Wyoming Wildlife Program,25997,25997,22125,22125,3872,3872,25997
24-0054-A0001-1,IIJA Bureau of Land Management Wyoming Wildlife Program,25997,25997,22125,22125,3872,3872,25997
23-0194-A0001,"Populating a Radiocarbon Database of North America, Phase III",285332.41,,,,,,
24-0023-A0001,GEDI Phase II,16506,125646,11423,86952,38694,5083,125646
24-0743-A0001,Red Desert Fence Behavior Study,5000,5000,5000,5000,0,0,5000
23-1553-A0001-0,Bureau of Land Management: Investigating the Parasitism of bumble bees,20000,20000,17848.36,17848.36,2151.64,2151.64,20000
23-1553-A0001-1,Bureau of Land Management: Investigating the Parasitism of bumble bees,20000,20000,17848.36,17848.36,2151.64,2151.64,20000
23-1553-A0001-2,Bureau of Land Management: Investigating the Parasitism of bumble bees,20000,20000,17848.36,17848.36,2151.64,2151.64,20000
23-1553-A0001-3,Bureau of Land Management: Investigating the Parasitism of bumble bees,20000,20000,17848.36,17848.36,2151.64,2151.64,20000
23-0391-A0001,Weed Control in Crops,10000,,,,,,
24-0033-A0002-0,TNC Siebert Pivot - SCG-UW,8750,8750,7608.7,7608.7,1141.3,1141.3,36060.92
24-0033-A0002-1,TNC Siebert Pivot - SCG-UW,35000,35000,30434.78,30434.78,4565.22,4565.22,35000
23-0118-A0001,Deer-Elk Ecology Cooperative Study,142000,,,,,,
24-0141-A0001,Wyoming Migration Initiative-Storer,30000,30000,27272.73,27272.73,2727.27,2727.27,30000
24-0427-A0001,UW-IRMA Water Well Module 23,100272,100272,91156.36,91156.36,9115.64,9115.64,100272
23-0140-A0001,"Human Machine Interface for Connected Vehicle: Requirements, Development and Assessment-Federal",226763.26,,,,,,
24-1038-A0001,2024 State Justice Statistics,217924,217924,162630,162630,55294,55294,217924
24-0400-A0001,Survey for pollinators prior to bentonite mine reclamation,40141,40141,34162.6,34162,5978.4,5978.4,40141
23-0035-A0001,"Wyoming Strategic Prevention Framework, Partnerships for Success",1100000,,,,,,
24-0712-A0001,NABat,40000,40000,33333,33333,6667,6667,
23-1773-A0001-0,Screening and Brief Intervention for Prescription Stimulant Misuse and Diversion: Refining and Piloting a Curriculum for College Health Providers,44021.37,142520.37,30464.62,98629.95,43890.32,13556.75,142520
23-1773-A0001-1,Screening and Brief Intervention for Prescription Stimulant Misuse and Diversion: Refining and Piloting a Curriculum for College Health Providers,92573.37,142520.37,64064.62,98629.95,43890.32,28508.75,142520
23-1139-A0001,Walton Foundation Payment #4 - via Alumbra Innovations Foundation,15000,,,,,,
23-1054-A0001-0,Original Research for Wyoming's State Epidemiological Outcomes Workgroup (SEOW),194000,,,,,,
23-1054-A0001-1,Original Research for Wyoming's State Epidemiological Outcomes Workgroup (SEOW),194000,,,,,,
23-1235-A0002,City of Buffalo Trail Maintenance,15000,15000,14286,14286,714,714,15000
24-0482-A0001-0,McIntire-Stennis Capacity,102570,102570,102570,102570,0,0,205140
24-0482-A0001-1,McIntire-Stennis Capacity,102570,102570,102570,102570,0,0,205140
23-0623-A0001,Economics of Targeted Grazing,127815.88,,,,,,
23-1210-A0003,Trail Work on the Continental Divide National Scenic Trail,,,,,,,46596.9
23-0645-A0001-0,Rare Earth Element in Coals,30000,,,,,,
23-0645-A0001-1,Rare Earth Element in Coals,25000,25000,18687,18687,6313,6313,
