"Proposal #","Project Title","PI","PI Unit","Status","Sponsor","Prime Sponsor","Admin Unit","Project Start Date","Project End Date","Proposal Type","Project #","Created Date","Total Sponsor Costs","Sponsor Deadline","add new prime sponsor","add new sponsor","full proposal title","History Action","History Action By","History Action Date","History Comment","Prime Sponsor Org Type","Proposal Id","Resolution","Routing Comment","Routing Date","Routing Status","Total Cost Share","Total Direct Costs","Total Indirect Costs","Total Project Cost","uw is receiving funding as","uwreceiving funding lead other","Actual_Submission_Date","Actual_Funding_Date","Total Sponsor Costs in Proposal","Total Direct Costs in Proposal","Total Indirect Costs in Proposal","Total Project Cost in Proposal","FY","Project Number","Project Funding Amount","Award F&A Schedule","College (Subdivision)","Closed","Funded","Not Submitted to Sponsor","Submitted to Sponsor","In Development","Under Consideration","Transfer","Under Review","Approved","Total_submitted_to_sponsor"
"24-1035-P0001","CORE-CM Phase II, Region IV: Developing a Nexus of Carbon Ore, Rare Earth Element & Critical Minerals Technologies & Community Engagement","Tyler Chandos Brown","School of Energy Resources Directors Office","Under Consideration","U.S. Department of Energy",NA,"School of Energy Resources Directors Office","4/1/2025","3/31/2028","New","24-1035","5/22/2024 02:01:40 PM","7500000","6/24/2024 12:00:00 AM",NA,NA,"Great Plains and Interior Highlands CORE-CM (Phase II, Region IV): Developing a Nexus of Carbon Ore & Critical Minerals Resources, Technology Innovation, and Community Engagement","Proposal Created > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration","Martha D. Reisch > Inna Willis > Thomas Abraham Lentner > Selena Rose Gerace > Tyler Chandos Brown > Davin A. Bagdonas > David M. Aadland > Farrell Jean Rapp","5/22/2024 02:01:39 PM > 6/13/2024 01:49:01 PM > 6/21/2024 01:34:21 PM > 6/21/2024 02:21:10 PM > 6/21/2024 02:55:17 PM > 6/21/2024 03:01:34 PM > 6/21/2024 07:25:42 PM > 6/24/2024 08:16:31 AM > 6/24/2024 02:46:56 PM > 1/6/2025 12:08:42 PM","Submitted on 06/24/2024 at 2:40pm > Under consideration per a notice from DOE 01/06/2025.",NA,"020dc966-6bfb-4df2-acdc-361780a21c12",NA,"Passes pre-award checks.  Note minimum cost share requirement of 20%.  numerous subrecipients on the project. > Cost Share commitment approved.","6/21/2024 01:35:28 PM > 6/21/2024 07:25:42 PM > 6/21/2024 03:01:34 PM > 6/21/2024 02:55:17 PM > 6/21/2024 02:21:10 PM > 6/24/2024 08:10:35 AM > 6/21/2024 11:43:16 PM > 6/21/2024 07:58:17 PM > 6/21/2024 07:58:07 PM > 6/21/2024 07:57:45 PM > 6/24/2024 08:16:32 AM","Approved > Certified","2676484","8617187","1559297","10176484",NA,"Yes",2024-06-24 14:46:56,NA,"7500000","8617187","1559297","10176484","FY2024","241035A0001",NA,NA,"School of Energy Resources",0,0,0,0,0,1,0,0,0,1
"23-0720-P0001","COVID-19 Statistical Data Analysis and Data Science Support for the State of Wyoming",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0720","4/27/2023 07:14:46 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:14:46 PM > 4/27/2023 07:14:49 PM","Status set by bulk loader",NA,"e2e221fc-cc52-4dbd-992d-d286c6f47773","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230720A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1176-P0001","COVID-19 TELEHEALTH PROGRAM: ROUND 2",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1176","4/27/2023 07:46:26 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:46:25 PM > 4/27/2023 07:46:28 PM","Status set by bulk loader",NA,"2ce40ece-0747-4ee6-81b5-b4e2b26226b7","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231176A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-0932-P0001","CPB American Rescue Plan Act Stabilization Grant",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0932","4/27/2023 07:29:38 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:29:37 PM > 4/27/2023 07:29:40 PM","Status set by bulk loader",NA,"99159ab7-8c6b-46e7-8a9d-01a0bdc87a0e","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230932A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"24-0250-P0001","CPB CARES Stabilization Funds",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"24-0250","8/18/2023 02:48:17 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","8/18/2023 02:48:16 PM > 8/18/2023 02:48:19 PM","Status set by bulk loader",NA,"05873588-3925-41aa-a866-c3ad9a5d7274","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"240250A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-0902-P0001","CPB Public Health Emergency Funds",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-0902","4/27/2023 07:27:36 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:27:35 PM > 4/27/2023 07:27:39 PM","Status set by bulk loader",NA,"d6282397-f9ef-4c8a-8d4b-091b7aba19e7","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230902A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-1900-P0001","CPB-State Government Coverage","Christina Kuzmych","Wyoming Public Media","Funded","Corporation for Public Broadcasting",NA,"Wyoming Public Media","7/1/2023","6/30/2025","New","23-1900","6/29/2023 10:42:59 AM","180000","1/18/2023 12:00:00 AM",NA,NA,"CPB-State Government Coverage","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Under Consideration > Status was changed from: Under Consideration to Funded","Tashina Lemons > Farrell Jean Rapp","6/29/2023 10:42:59 AM > 9/29/2023 10:57:18 AM > 9/29/2023 11:07:00 AM > 9/29/2023 03:22:14 PM","Legacy Submission, Previously submitted to sponsor > NOA recieved > Funded.",NA,"6a40818d-a7d4-4de7-9905-5f03c7d7a40a",NA,NA,"9/29/2023 10:56:44 AM","Cancelled > Not Yet Active",NA,"180000","0","180000",NA,"Yes",2023-09-29 10:57:18,"2023-09-29 15:22:14","180000","180000","0","180000","FY2024","231900A0001",360999,"NONE","Research & Economic Development",0,1,0,0,0,0,0,0,0,1
"24-0796-P0002","CPB: FY 2024 Radio Community Service Grant","Christina Kuzmych","Wyoming Public Media,Wyoming Public Media","Closed","Corporation for Public Broadcasting",NA,"Wyoming Public Media","8/31/2024","7/31/2025","Renewal","24-0796","8/27/2024 10:27:48 AM","365944","9/12/2024 12:00:00 AM",NA,NA,"CPB FY 25 Radio Community Service Grant","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Closed. Resolution set to: Withdrawn","Norman M. Frost > John Ruess > Christina Kuzmych > Farrell Jean Rapp > Thomas Abraham Lentner > Lillian Kay Marks","8/27/2024 10:27:48 AM > 8/27/2024 01:44:57 PM > 8/30/2024 10:57:34 AM > 9/3/2024 11:59:04 AM > 9/4/2024 02:19:32 PM > 9/6/2024 11:37:52 AM","Post-submission review.  Set up under way with LM and OSP confirming ACH transfer of funds. > This proposal is a duplicate of proposal # 23-1497-P0002.",NA,"1a1cf50a-befa-4634-b2d8-54385eb283e5","Withdrawn","Confirmed IDC limitation from General Provisions and past award history.","8/27/2024 01:45:05 PM > 8/30/2024 10:57:34 AM > 9/3/2024 11:04:09 AM > 9/3/2024 11:04:03 AM > 9/3/2024 11:59:05 AM","Approved > Certified",NA,"365944","0","365944",NA,"Yes",NA,NA,"365944","365944","0","365944",NA,"240796A0002",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"25-0091-P0001","CPB: FY 25 Radio Community Service Grant","Christina Kuzmych","Wyoming Public Media","Not Submitted to Sponsor","Corporation for Public Broadcasting",NA,"Wyoming Public Media","9/1/2024","8/31/2025","Renewal","25-0091","8/27/2024 10:29:02 AM",NA,"8/1/2024 12:00:00 AM",NA,NA,"CPB: FY 25 Radio Community Service Grant","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: PI Abandoned","Norman M. Frost > Kayleigh Ann Edgar","8/27/2024 10:29:01 AM > 1/24/2025 10:32:36 AM","This is a duplicate for 23-1497-P0003",NA,"a941a5d0-9c70-46b4-969e-cfdc474660a1","PI Abandoned",NA,NA,"Not Completed",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,"250091A0001",NA,NA,"Research & Economic Development",0,0,1,0,0,0,0,0,0,0
"24-0437-P0001","CPB: FY24 - State Government Coverage","Christina Kuzmych","Wyoming Public Media","Closed","Corporation for Public Broadcasting",NA,"Wyoming Public Media","7/1/2023","6/30/2025","New","24-0437","9/22/2023 01:07:06 PM","180000","1/18/2023 12:00:00 AM",NA,NA,"CPB: FY24 - State Government Coverage","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Closed. Resolution set to: Withdrawn","Sandra L. Roller > Bryce William Howard > Tashina Lemons","9/22/2023 01:07:05 PM > 9/22/2023 03:37:55 PM > 9/29/2023 10:57:44 AM","Duplicate submission/ FY 23 data",NA,"2b39c2f4-9c36-47fe-b380-ac36c8d649c2","Withdrawn",NA,"9/29/2023 10:46:09 AM","Cancelled > Not Yet Active",NA,"180000","0","180000",NA,"Yes",NA,NA,"180000","180000","0","180000",NA,"240437A0001",NA,NA,"Research & Economic Development",1,0,0,0,0,0,0,0,0,0
"23-0348-P0001","CPS: Medium: Collaborative Research: Collective Intelligence for Proactive Autonomous Driving (CI-PAD)",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0348","4/27/2023 06:48:31 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 06:48:30 PM > 4/27/2023 06:48:34 PM","Status set by bulk loader",NA,"002e0047-6a9b-46cd-94d3-133f621bebb7","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230348A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"25-0131-P0001","CRII: CSR: Toward a High-Performance     and Resilient Distributed Computing Framework for Machine Learning and Internet of Things.","Duong Ngoc Nguyen","Electrical Engineering & Computer Science","Submitted to Sponsor","National Science Foundation",NA,"Electrical Engineering & Computer Science","5/1/2025","5/1/2027","New","25-0131","9/11/2024 04:49:29 PM",NA,"9/18/2024 12:00:00 AM",NA,NA,"CRII: CSR: Toward a High-Performance and Resilient Distributed Computing Framework for Machine Learning and Internet of Things.","Proposal Created > Status was changed from: In Development to Under Review > Status was changed from: Under Review to In Development > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor","Duong Ngoc Nguyen > Kayleigh Ann Edgar > Farrell Jean Rapp > Thomas Abraham Lentner","9/11/2024 04:49:28 PM > 9/11/2024 06:09:56 PM > 9/16/2024 09:24:53 AM > 9/16/2024 09:47:20 AM > 9/16/2024 10:34:00 AM > 9/16/2024 04:11:46 PM > 9/18/2024 04:56:38 PM","Updating fields > Submitted on 09/18/2024",NA,"edb7b140-b2f8-4399-b67f-73ba04a208e3",NA,"Passes Pre-Award checks.  Ready for internal approvals.","9/16/2024 10:00:38 AM > 9/16/2024 10:34:00 AM > 9/16/2024 03:21:30 PM > 9/16/2024 11:12:43 AM > 9/16/2024 04:11:47 PM","Approved > Certified",NA,NA,NA,NA,NA,"Yes",2024-09-18 16:56:38,NA,"$173161","$133474","$39688","$173161","FY2025","250131A0001",NA,NA,"College of Engineering & Physical Sciences",0,0,0,1,0,0,0,0,0,1
"23-0350-P0001","CRII: III: Fair Machine Learning with Restricted Access to Sensitive Personal Data",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0350","4/27/2023 06:48:40 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 06:48:40 PM > 4/27/2023 06:48:43 PM","Status set by bulk loader",NA,"5b3689a2-860c-4d54-bfbb-43311e0ffca3","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230350A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"24-0405-P0001","CRII: Non-interlocking Large-scale Graph Computation on the Cloud: Experiments, Analysis, and Modeling","Duong Ngoc Nguyen","Electrical Engineering & Computer Science","Closed","National Science Foundation",NA,"Electrical Engineering & Computer Science","5/1/2024","4/30/2026","New","24-0405","9/15/2023 02:50:00 PM","172675","9/20/2023 12:00:00 AM",NA,NA,"CRII: OAC: Toward a High-Performance and Resilient Distributed Computing Framework for Machine Learning and Internet of Things.","Proposal Created > Assigned to SP Proposal Administrator: Tashina Lemons > Status was changed from: In Development to Under Review > Status was changed from: Under Review to Closed. Resolution set to: Withdrawn","Duong Nguyen > Tashina Lemons","9/15/2023 02:49:59 PM > 9/18/2023 07:58:33 AM > 9/20/2023 04:48:04 PM > 9/21/2023 08:06:51 AM","PI was unable to complete research.gov proposal prior to submission window closing.",NA,"f0359b49-975b-4cc2-86ba-7f2d52760f24","Withdrawn",NA,"9/20/2023 04:47:58 PM","Cancelled > Not Yet Active",NA,"132217","40459","172675",NA,"Yes",NA,NA,"172675","132217","40459","172675",NA,"240405A0001",NA,NA,"College of Engineering & Physical Sciences",1,0,0,0,0,0,0,0,0,0
"24-0326-P0001","CRII: OAC: Parallel Algorithmic Advancements in Overset Grid Technologies for Dynamically Adaptive Multiscale Fluid Dynamics Simulations","Andrew Christopher Kirby","School of Computing","Funded","National Science Foundation",NA,"School of Computing","5/1/2024","4/30/2026","New","24-0326","8/23/2023 08:42:31 AM",NA,"9/20/2023 12:00:00 AM",NA,NA,"CRII: OAC: Dynamically Adaptive Unstructured Mesh Technologies for High-Order Multiscale Fluid Dynamics Simulations","Proposal Created > Status was changed from: In Development to Under Review > Certified > Status was changed from: Under Review to Approved > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Andrew Christopher Kirby > John Ruess > Andrew Kirby > Farrell Jean Rapp","8/23/2023 08:42:31 AM > 9/20/2023 09:31:09 AM > 9/20/2023 09:32:02 AM > 9/20/2023 11:48:15 AM > 9/20/2023 12:31:46 PM > 4/19/2024 08:17:06 AM","submitted > Funded.",NA,"7fb33459-99fd-4dda-bbf0-9fe4ba4024ce",NA,NA,"9/20/2023 11:48:15 AM > 9/20/2023 11:16:05 AM > 9/20/2023 10:26:04 AM > 9/20/2023 09:32:02 AM > 9/20/2023 09:31:15 AM","Approved > Certified > Not Completed",NA,NA,NA,NA,NA,"Yes",2023-09-20 12:31:46,"2024-04-19 08:17:06","$175000.00","$127748.00","$47252.00","$175000.00","FY2024","240326A0001",175000,"445TDC","College of Engineering & Physical Sciences",0,1,0,0,0,0,0,0,0,1
"23-1953-P0001","CRII: RI: Toward Online Trustworthy Multi-agent Reinforcement Learning: Lyapunov-assured Transferable and Predicable MARL for Sim-to-real with a Spy Agent Attack",NA,NA,"Closed","National Science Foundation",NA,NA,NA,NA,NA,"23-1953","6/30/2023 03:22:51 PM",NA,NA,NA,NA,"CRII: RI: Toward Online Trustworthy Multi-agent Reinforcement Learning: Lyapunov-assured Transferable and Predicable MARL for Sim-to-real with a Spy Agent Attack","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Withdrawn","Tashina Lemons","6/30/2023 03:22:50 PM > 6/30/2023 03:23:51 PM","double entry",NA,"59b3c421-76aa-41fc-b61b-d7a4f6868a73","Withdrawn",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231953A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-0289-P0001","CS for All:RPP - Booting Up Computer Science in Wyoming",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0289","4/27/2023 06:44:00 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 06:44:00 PM > 4/27/2023 06:44:04 PM","Status set by bulk loader",NA,"c97525df-4744-4ea6-bf11-619176c51476","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230289A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"23-1076-P0001","CSG FY22: Making Music with Mothers and Fathers in Prison",NA,NA,"Funded",NA,NA,NA,NA,NA,NA,"23-1076","4/27/2023 07:39:33 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:39:32 PM > 4/27/2023 07:39:36 PM","Status set by bulk loader",NA,"3a393c6c-8834-4b6d-9adb-f6133ebb0642","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231076A0001",NA,NA,NA,0,1,0,0,0,0,0,0,0,1
"23-0554-P0001","CSG: FY21 Exhibitions and Education Support",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,"23-0554","4/27/2023 07:03:19 PM",NA,NA,NA,NA,"Legacy Shell","Proposal Created > Status was changed from: In Development to Closed. Resolution set to: Administratively Closed","Legacy Loader","4/27/2023 07:03:19 PM > 4/27/2023 07:03:22 PM","Status set by bulk loader",NA,"7e91036a-5f43-434c-9474-bbc250e4134e","Administratively Closed",NA,NA,"Not Yet Active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230554A0001",NA,NA,NA,1,0,0,0,0,0,0,0,0,0
"24-0922-P0001","CTIPS 2024","Khaled Ksaibati","Civil & Architectural Engineering & Construction Management","Funded","North Dakota State University","Federal Highway Administration/Department of Transportation","Civil & Architectural Engineering & Construction Management","5/2/2024","8/31/2029","New","24-0922","4/4/2024 08:48:47 AM","305665","4/4/2024 12:00:00 AM",NA,NA,"Center for Transformative Infrastructure Preservation and Sustainability (CTIPS) | Research, Education, and Technology Transfer Projects 2024","Proposal Created > Status was changed from: In Development to Under Review > Assigned to SP Proposal Administrator: Kasi Smart > Certified > Form was edited in 'Under Review' status > Status was changed from: Under Review to Approved > Unassigned from SP Proposal Administrator: Kasi Smart > Assigned to SP Proposal Administrator: Thomas Abraham Lentner > Status was changed from: Approved to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Khaled Ksaibati > Tashina Lemons > Farrell Jean Rapp > Inna Willis > Thomas Abraham Lentner > Kristi Hargis Stockdale","4/4/2024 08:48:46 AM > 4/4/2024 09:10:46 AM > 4/4/2024 09:36:37 AM > 6/3/2024 09:42:29 AM > 6/3/2024 12:16:19 PM > 6/3/2024 12:18:07 PM > 6/25/2024 01:20:08 PM > 6/25/2024 01:20:12 PM > 6/26/2024 07:37:05 AM > 7/25/2024 02:27:54 PM","After the fact submission > Funded.",NA,"7a9c8cf5-bea0-4c4b-8afa-88c730ade548",NA,"Appears to be an after the fact submission and review. Subaward under review.","6/3/2024 09:29:36 AM > 6/3/2024 09:42:29 AM > 6/3/2024 11:27:44 AM > 6/3/2024 11:26:26 AM > 6/3/2024 12:18:07 PM","Approved > Certified","305979","226190","79475","611644","A Subrecipient","No",2024-06-26 07:37:05,"2024-07-25 14:27:54","305665","226190","79475","611644","FY2024","240922A0001",101048,"445MTDC1","College of Engineering & Physical Sciences",0,1,0,0,0,0,0,0,0,1
"25-0348-P0001","CU-Hosted NC CASC: Advancing the development and delivery of actionable science to help fish, wildlife, water, land and people in the North Central region adapt to a changing environment","Corrine Noel Knapp","Haub School of Environment & Natural Resources","Funded","University of Colorado, Boulder","U.S. Geological Survey/Department of the Interior","Haub School of Environment & Natural Resources","8/30/2024","8/29/2029","New","25-0348","12/2/2024 03:30:34 PM","197247.76","12/13/2023 12:00:00 AM",NA,NA,"CU-Hosted NC CASC: Advancing the development and delivery of actionable science to help fish, wildlife, water, land and people in the North Central region adapt to a changing environment","Proposal Created > Status was changed from: In Development to Submitted to Sponsor > Status was changed from: Submitted to Sponsor to Funded","Kristi Hargis Stockdale","12/2/2024 03:30:33 PM > 12/3/2024 11:51:44 AM > 12/3/2024 11:51:59 AM","Submitted under 24-0619 > Funded.",NA,"a56fa0d0-5c1f-4ab6-a810-d1dea45d1835",NA,NA,NA,"Not Completed",NA,"137827.86","59419.9","197247.76","A Subrecipient","No",2024-12-03 11:51:44,"2024-12-03 11:51:59","197247.76","137827.86","59419.9","197247.76","FY2025","250348A0001",13120,"445MTDC1","Haub School of Environment & Natural Resources",0,1,0,0,0,0,0,0,0,1
